Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Forward KL
-202.65,11.3149,-26.52,0,158.2583
-73.94,11.6391,3.89,1,158.351
62.82,11.9307,645.99,2,158.2669
262.65,12.3371,755.24,3,158.0827
340.31,12.7984,899.57,4,157.9258
434.54,12.8402,1049.72,5,157.9404
594.38,13.9091,964.43,6,157.8871
724.98,14.0963,945.02,7,157.8835
782.14,14.8825,1147.13,8,158.0448
890.24,15.33,1327.81,9,158.0229
1061.75,16.3119,1384.46,10,157.9588
1076.96,16.5136,1450.07,11,158.1318
1152.54,16.8117,1529.85,12,158.2075
1208.14,16.8611,1153.39,13,158.2237
1202.05,16.6272,1595.3,14,158.0974
1197.98,16.5284,1627.85,15,158.2786
1333.12,16.6566,1557.42,16,157.7825
1260.44,16.231,1092.19,17,157.991
1313.75,16.7514,1765.14,18,157.9057
1415.17,16.9523,1618.89,19,157.8914
1453.34,17.2272,1792.65,20,158.2282
1461.74,17.1955,1837.7,21,158.1105
1512.22,17.0139,1857.04,22,157.9684
1546.59,17.2172,1851.21,23,157.9943
1547.14,17.1883,1941.35,24,157.9174
1594.35,17.2584,1909.19,25,157.9698
1560.02,17.0847,1941.14,26,157.8153
1541.59,16.915,1888.97,27,157.9312
1595.35,17.0092,1931.49,28,157.7264
1614.72,17.1815,1967.52,29,157.8617
1621.18,17.3068,1959.42,30,157.7718
1631.69,17.2261,1993.05,31,157.8
1640.36,17.1608,2004.99,32,157.6263
1592.29,16.9547,1919.22,33,157.8956
1647.0,16.9861,1988.92,34,157.735
1639.39,16.6252,1986.16,35,157.5171
1627.25,16.5488,1922.55,36,157.7428
1650.34,16.697,1990.76,37,157.7522
1717.56,17.3247,2079.45,38,157.6199
1635.87,16.3688,1999.31,39,157.3036
1716.12,16.9929,2074.5,40,157.5522
1636.65,16.425,1995.03,41,157.6317
1637.14,16.3121,1989.6,42,157.4874
1611.12,16.5897,1954.57,43,157.6944
