Running Update Time,Running Env Steps,Itration,Reward Loss,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
0,0,0,-86.52161407470703,39.1872,225.85,19.2694,235.29
1,5000,1,-68.7924575805664,36.5405,329.37,21.9521,313.06
2,10000,2,-88.60314178466797,35.7908,363.75,25.8362,360.51
3,15000,3,-85.36959838867188,33.9603,389.24,21.3351,390.98
4,20000,4,-94.4920654296875,33.047,489.9,26.1073,484.76
5,25000,5,-114.0933837890625,33.3127,409.94,29.0533,405.4
6,30000,6,-119.38164520263672,33.896,463.16,28.7859,448.43
7,35000,7,-110.86543273925781,33.2001,235.33,20.5751,716.05
8,40000,8,-140.78744506835938,37.0867,226.46,24.1024,226.93
9,45000,9,-163.54539489746094,31.7992,525.76,35.8432,542.33
10,50000,10,-112.501220703125,36.6195,341.79,14.1632,357.84
11,55000,11,-75.72859191894531,30.4133,924.5,12.9499,802.74
12,60000,12,-106.24799346923828,30.7729,280.87,15.1506,556.97
13,65000,13,-134.75704956054688,30.9364,725.79,19.1615,854.45
14,70000,14,-73.1477279663086,30.0509,2994.36,25.5087,1566.35
15,75000,15,-100.74128723144531,29.8865,3047.01,44.7892,1358.74
16,80000,16,-145.4025115966797,32.4832,1050.34,37.7188,1124.45
17,85000,17,-71.95087432861328,30.3317,2999.08,16.1542,2683.91
18,90000,18,-209.2478485107422,36.3642,453.07,21.8535,470.95
19,95000,19,-229.3696746826172,37.4436,454.57,21.3138,438.13
20,100000,20,-227.9312744140625,38.0505,241.17,28.9404,240.79
21,105000,21,-271.2853698730469,37.5197,303.38,43.8954,304.74
22,110000,22,-198.6220703125,34.1951,512.31,19.6219,478.2
23,115000,23,-256.9775695800781,44.7981,1000.76,48.166,999.62
24,120000,24,-283.0736389160156,35.6613,368.73,92.928,369.41
